step,loss,mean_r,kl,entropy,token_adv
0,-0.3096905052661896,0.3748813271522522,-0.015364903956651688,-16.712369918823242,0.887725830078125
10,-0.09062641859054565,0.472053587436676,0.024115657433867455,-15.271134376525879,0.7909090518951416
20,-0.11012742668390274,0.6091020107269287,-0.0298392903059721,-8.868703842163086,0.9598912000656128
30,-0.028475917875766754,0.6805808544158936,0.021379683166742325,-21.564695358276367,0.9948545694351196
40,0.18407201766967773,0.48278024792671204,-0.052935078740119934,-10.798751831054688,0.775161623954773
50,-0.10946978628635406,0.489149272441864,0.0011490064207464457,-35.60089111328125,0.8349144458770752
60,-0.11609840393066406,0.36648547649383545,-0.020071249455213547,-12.693964958190918,0.882757306098938
70,0.4926629662513733,0.7309736013412476,0.005923721473664045,-24.26787757873535,0.8203364610671997
80,-0.05099216476082802,0.6912708878517151,0.0165889672935009,-13.665162086486816,0.7954416275024414
90,-0.1586856096982956,0.5253545641899109,-0.014163296669721603,-7.436585426330566,0.8000502586364746
